_id,SKUCode,multiCode,vendorCode,majorCode,colorCode,finishCode,image[0],isDeleted,__v
643dabf1528fff8354d9e4ab,79-23086,79-00283-EMR-Y-TT,EMR,79,Y,TT,07923086.jpg,,
643dabf1528fff8354d9e417,49-08152,49-00135-DP-Y-TT,DP,49,Y,TT,04908152.jpg,,
643dabf1528fff8354d9e410,49-08013,49-00128-ZAR-Y-TTT,ZAR,49,Y,TTT,04908013.jpg,,
643dabf1528fff8354d9e3ce,31-16866,31-00062-UG-Y-Y,UG,31,Y,Y,03116866.jpg,,
643dabf1528fff8354d9e496,75-21102,75-00262-EMR-Y-Y,EMR,75,Y,Y,07521102.jpg,,
643dabf1528fff8354d9e52c,90-11685,90-00412-BLJ-Y-Y,BLJ,90,Y,Y,09011685.jpg,,
643dabf1528fff8354d9e547,95-07819,95-00439-EMR-Y-TT,EMR,95,Y,TT,09507819.jpg,,
643dabf1528fff8354d9e4af,79-24398,79-00287-EMR-Y-TT,EMR,79,Y,TT,07924398.jpg,,
643dabf1528fff8354d9e3c2,30-21817,30-00050-UG-Y-TT,UG,30,Y,TT,03021817.jpg,,
643dabf1528fff8354d9e561,341-03820,341-00468-RML-Y-Y,RML,341,Y,Y,34103820.jpg,,
643dabf1528fff8354d9e575,380-01982,380-00488-GS-Y-Y,GS,380,Y,Y,38001982.jpg,,
643dabf1528fff8354d9e3f6,39-05167,39-00102-EMR-Y-Y,EMR,39,Y,Y,03905167.jpg,,
643dabf1528fff8354d9e478,72-02073,72-00232-SCS-Y-TT,SCS,72,Y,TT,07202073.jpg,,
643dabf1528fff8354d9e4b5,79-24553,79-00293-EMR-Y-TT,EMR,79,Y,TT,07924553.jpg,,
643dabf1528fff8354d9e4dd,85-30182,85-00333-EMR-R-RW,EMR,85,R,RW,08530182.jpg,,
643dabf1528fff8354d9e408,47-04492,47-00120-DP-Y-Y,DP,47,Y,Y,04704492.jpg,,
643dabf1528fff8354d9e46d,72-01523,72-00221-SCS-Y-TT,SCS,72,Y,TT,07201523.jpg,,
643dabf1528fff8354d9e53f,95-07639,95-00431-RHC-Y-Y,RHC,95,Y,Y,09507639.jpg,,
643dabf1528fff8354d9e3a6,29-11860,29-00022-UG-Y-Y,UG,29,Y,Y,02911860.jpg,,
643dabf1528fff8354d9e53b,95-07158,95-00427-EMR-Y-TT,EMR,95,Y,TT,09507158.jpg,,
643dabf1528fff8354d9e550,95-08503,95-00448-SRY-Y-Y,SRY,95,Y,Y,09508503.jpg,,
643dabf1528fff8354d9e3eb,38-02228,38-00091-EMR-Y-TT,EMR,38,Y,TT,03802228.jpg,,
643dabf1528fff8354d9e3fd,41-09086,41-00109-AU-Y-TTT,AU,41,Y,TTT,04109086.jpg,,
643dabf1528fff8354d9e43e,53-00462,53-00174-SCS-Y-Y,SCS,53,Y,Y,05300462.jpg,,
643dabf1528fff8354d9e4ac,79-23101,79-00284-EMR-Y-TT,EMR,79,Y,TT,07923101.jpg,,
643dabf1528fff8354d9e457,70-15859,70-00199-EMR-Y-TT,EMR,70,Y,TT,07015859.jpg,,
643dabf1528fff8354d9e498,75-21131,75-00264-EMR-Y-TT,EMR,75,Y,TT,07521131.jpg,,
643dabf1528fff8354d9e4a3,78-03193,78-00275-EMR-Y-Y,EMR,78,Y,Y,07803193.jpg,,
643dabf1528fff8354d9e3aa,30-17059,30-00026-DP-Y-Y,DP,30,Y,Y,03017059.jpg,,
643dabf1528fff8354d9e40e,49-07581,49-00126-SCS-Y-TT,SCS,49,Y,TT,04907581.jpg,,
643dabf1528fff8354d9e3d8,32-12053,32-00072-BLJ-Y-Y,BLJ,32,Y,Y,03212053.jpg,,
643dabf1528fff8354d9e55c,340-03598,340-00463-GS-Y-Y,GS,340,Y,Y,34003598.jpg,,
643dabf1528fff8354d9e55e,340-03608,340-00465-GS-Y-Y,GS,340,Y,Y,34003608.jpg,,
643dabf1528fff8354d9e4d9,85-29464,85-00329-EMR-Y-Y,EMR,85,Y,Y,08529464.jpg,,
643dabf1528fff8354d9e438,52-02681,52-00168-UG-Y-TT,UG,52,Y,TT,05202681.jpg,,
643dabf1528fff8354d9e4aa,79-23049,79-00282-EMR-Y-TT,EMR,79,Y,TT,07923049.jpg,,
643dabf1528fff8354d9e4cc,85-28735,85-00316-EMR-Y-Y,EMR,85,Y,Y,08528735.jpg,,
643dabf1528fff8354d9e43f,54-06393,54-00175-DHA-ATQ-MNC,DHA,54,ATQ,,05406393.jpg,,
643dabf1528fff8354d9e3ef,38-02279,38-00095-EMR-Y-Y,EMR,38,Y,Y,03802279.jpg,,
643dabf1528fff8354d9e544,95-07792,95-00436-EMR-Y-TT,EMR,95,Y,TT,09507792.jpg,,
643dabf1528fff8354d9e432,52-02541,52-00162-SCS-Y-Y,SCS,52,Y,Y,05202541.jpg,,
643dabf1528fff8354d9e41e,50-15838,50-00142-EMR-Y-Y,EMR,50,Y,Y,05015838.jpg,,
643dabf1528fff8354d9e423,50-16527,50-00147-UG-Y-TT,UG,50,Y,TT,05016527.jpg,,
643dabf1528fff8354d9e456,62-01306,62-00198-DP-Y-Y,DP,62,Y,Y,06201306.jpg,,
643dabf1528fff8354d9e469,72-01303,72-00217-DP-Y-Y,DP,72,Y,Y,07201303.jpg,,
643dabf1528fff8354d9e46e,72-01534,72-00222-SCS-Y-TT,SCS,72,Y,TT,07201534.jpg,,
643dabf1528fff8354d9e507,85-31562,85-00375-SRY-Y-Y,SRY,85,Y,Y,08531562.jpg,,
643dabf1528fff8354d9e418,49-08156,49-00136-DP-Y-TT,DP,49,Y,TT,04908156.jpg,,
643dabf1528fff8354d9e401,44-08177,44-00113-SRE-Y-Y,SRE,44,Y,Y,04408177.jpg,,
